Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
199405110818 506 5.710400e+18   6.5044  -2.0000  99.8000  23.6667   7.1373   4.0662  50.5961   3.6596   1.1839   0.6332   8.6653   8.6653  30.7172 7.618696e+14   6.7504
199405180354 509 1.792292e+18   6.1689  44.6800 149.4500  30.5253   7.4208   4.1947  55.2710   3.7752   1.4586   1.4586  11.0128  11.0128   4.6967 1.749968e+13   0.5397
199405230536 510 1.978663e+18   6.1976  24.1200 122.5200  30.5444   7.2005   4.0902  51.3616   3.6812   2.7273   0.7276  20.0795  18.6155   0.9671 1.775774e+13   0.4610
199407130235 519 7.661938e+19   7.2562 -16.6200 167.5100  40.1717   7.4047   4.1689  53.6048   3.7520  29.0123   0.5139 217.7084  91.1920   0.1316 5.594522e+14   0.3914
199407290017 523 6.132908e+17   5.8584  52.3900 -168.3000  14.6667   6.7894   3.8688  44.1027   3.4820   1.1839   0.7276   8.2447   8.2447   3.8301 9.814381e+12   0.7058
199408180442 531 7.980132e+18   6.6013  44.6700 150.1700  16.5152   7.1119   4.0554  50.2166   3.6498   3.8614   0.4472  28.1869  23.3384   1.6999 2.547756e+14   1.6032
199408200438 533 2.620437e+18   6.2789  44.6700 149.1400  28.8545   7.3812   4.1768  54.6044   3.7591   1.4586   1.2692  10.9658  10.9658   6.9553 2.930095e+13   0.6106
199408281837 535 8.896805e+18   6.6328  44.7100 150.1700  15.7091   7.0662   4.0303  49.3595   3.6273   7.2203   0.8964  52.3800  35.2763   0.4202 5.750303e+13   0.3190
199409130428 542 1.494639e+18   6.1164  29.2600 129.8600  37.4677   7.2013   4.0764  50.6622   3.6688   2.7273   0.3891  20.0117  18.5736   0.7366 2.439427e+13   0.8269
199410090755 547 9.861934e+19   7.3293  43.9000 147.9000  31.9131   7.4005   4.1836  54.8697   3.7652  33.3414   0.6787 251.0754 100.2866   0.1216 4.772978e+14   0.2656
199410311148 552 2.001933e+18   6.2010   3.0300  96.2700  30.4000   7.1855   3.9525  48.0031   3.5573   2.5441   0.4472  18.1002  17.3712   1.2627 4.093838e+13   0.9816
199412281219 561 5.340528e+20   7.8184  40.4500 143.4900  24.8556   7.0806   4.0387  49.6431   3.6348  47.2053   0.7800 343.1658 123.5120   0.3189 6.741296e+15   0.6266
199503111521 588 8.664283e+17   5.9585  44.0100 148.1300  37.2182   7.5591   4.1746  55.4272   3.7571   6.7352   6.7352  50.6102  34.4772   0.0445 4.870887e+10   0.0031
199503141733 589 2.082275e+18   6.2124  54.7900 -161.2900  36.7778   7.4441   4.2070  55.0834   3.7863   8.8953   8.2977  67.3599  41.7165   0.0536 1.307741e+11   0.0035
199504170114 596 8.415768e+17   5.9501  -8.5900 156.6100  11.2121   6.8159   3.8843  44.5885   3.4959   5.8607   2.5441  40.9764  29.9499   0.0721 6.064505e+11   0.0321
199504210034 602 7.812484e+19   7.2619  12.0600 125.9300  21.3818   7.2391   4.1106  52.1395   3.6996   5.8607   5.4670  43.3643  31.1025   6.0120 1.005006e+16   6.7073
199505050353 609 5.497313e+19   7.1601  12.6200 125.3100  24.7737   7.2954   4.1352  53.0106   3.7217   5.0997   4.7571  37.9589  28.4610   5.8173 3.405115e+15   3.2836
199506220757 615 5.863650e+17   5.8454 -16.3800 168.0800  14.9798   7.1379   4.0655  50.5452   3.6590   6.2828   6.2828  45.9770  32.3395   0.0380 3.731694e+10   0.0032
199507031950 617 6.405016e+19   7.2043 -29.2000 -177.6100  39.9707   7.5742   4.2589  57.6768   3.8330   5.0997   5.0997  39.0947  29.0259   6.3157 7.814026e+15   7.0365
199507080542 618 1.111300e+18   6.0306  39.6400 143.3500  25.9091   7.1448   4.0679  50.6192   3.6611   6.7352   6.7352  49.3171  33.8874   0.0607 1.261978e+11   0.0057
199507081715 619 1.029103e+18   6.0083  53.6500 -163.5500  29.9495   7.3283   4.1483  53.4671   3.7335   5.8607   5.4670  43.7614  31.2921   0.0751 2.186336e+11   0.0114
199508162310 626 6.870826e+19   7.2247  -5.7800 154.2600  51.8283   7.6203   4.2674  57.5485   3.8407   5.8607   5.8607  45.0183  31.8884   4.8351 1.306882e+15   1.0946
199508260657 629 1.023639e+18   6.0068  -5.8000 153.6300  19.9697   7.2245   3.9780  48.7648   3.5802   5.8607   5.8607  41.9655  30.4300   0.0827 1.337395e+11   0.0064
199509141404 632 1.412294e+20   7.4333  16.8400 -98.6000  22.3455   6.6461   3.7931  40.5201   3.4137   7.7403   7.7403  52.8466  35.4855   6.7814 3.641323e+16  10.4473
199510080855 640 4.611534e+17   5.7759  40.9900  72.1200  25.0303   6.1100   3.5550  34.6531   3.1995   4.4376   4.4376  28.3959  23.4537   0.0965 2.077743e+11   0.0156
