Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.0732 -41.9528 247.619867 70.000000 156.078899 6.305201 1.935520 0.000000 2.777778	   2.0000000e+00
174.0689 -41.9443 247.619867 70.000000 166.642867 11.499210 1.935520 2.777778 5.555556	   2.0000000e+00
174.0647 -41.9357 247.619867 70.000000 169.434705 14.547890 1.935520 5.555556 8.333333	   2.0000000e+00
174.0604 -41.9272 247.619867 70.000000 169.244518 14.504547 1.935520 8.333333 11.111111	   2.0000000e+00
174.0562 -41.9187 247.619867 70.000000 166.679563 11.942525 1.935520 11.111111 13.888889	   2.0000000e+00
174.0519 -41.9102 247.619867 70.000000 160.935846 8.190985 1.935520 13.888889 16.666667	   2.0000000e+00
174.0477 -41.9016 247.619867 70.000000 149.486294 4.651854 1.935520 16.666667 19.444444	   2.0000000e+00
174.0435 -41.8931 247.619867 70.000000 128.344985 2.258440 1.935520 19.444444 22.222222	   2.0000000e+00
174.0392 -41.8846 247.619867 70.000000 102.770607 0.972340 1.935520 22.222222 25.000000	   2.0000000e+00
174.0513 -41.9589 247.619867 70.000000 167.711538 6.263169 1.935520 0.000000 2.777778	   2.0000000e+00
174.0471 -41.9503 247.619867 70.000000 172.003445 12.999379 1.935520 2.777778 5.555556	   2.0000000e+00
174.0428 -41.9418 247.619867 70.000000 172.643525 17.026593 1.935520 5.555556 8.333333	   2.0000000e+00
174.0386 -41.9333 247.619867 70.000000 171.407750 17.332332 1.935520 8.333333 11.111111	   2.0000000e+00
174.0343 -41.9248 247.619867 70.000000 168.453863 14.645682 1.935520 11.111111 13.888889	   2.0000000e+00
174.0301 -41.9162 247.619867 70.000000 163.152734 10.464747 1.935520 13.888889 16.666667	   2.0000000e+00
174.0258 -41.9077 247.619867 70.000000 153.925744 6.303418 1.935520 16.666667 19.444444	   2.0000000e+00
174.0216 -41.8992 247.619867 70.000000 138.398755 3.193215 1.935520 19.444444 22.222222	   2.0000000e+00
174.0174 -41.8906 247.619867 70.000000 118.184473 1.305633 1.935520 22.222222 25.000000	   2.0000000e+00
174.0295 -41.9649 247.619867 70.000000 176.175648 6.560484 1.935520 0.000000 2.777778	   2.0000000e+00
